in s,C1 in V
-5.9633432E-01,2.2468567E-03
-5.9632516E-01,2.2850037E-03
-5.9631600E-01,2.3002625E-03
-5.9630684E-01,2.2850037E-03
-5.9629768E-01,2.3155212E-03
-5.9628852E-01,2.2621155E-03
-5.9627936E-01,2.2850037E-03
-5.9627020E-01,2.2850037E-03
-5.9626104E-01,2.2544861E-03
-5.9625188E-01,2.3002625E-03
-5.9624272E-01,2.3155212E-03
-5.9623356E-01,2.2697449E-03
-5.9622440E-01,2.2697449E-03
-5.9621524E-01,2.2926331E-03
-5.9620608E-01,2.3460388E-03
-5.9619692E-01,2.3536682E-03
-5.9618776E-01,2.2850037E-03
-5.9617860E-01,2.2850037E-03
-5.9616944E-01,2.2621155E-03
-5.9616028E-01,2.2468567E-03
-5.9615112E-01,2.2239685E-03
-5.9614196E-01,2.2850037E-03
-5.9613280E-01,2.2468567E-03
-5.9612364E-01,2.3002625E-03
-5.9611448E-01,2.2697449E-03
-5.9610532E-01,2.2850037E-03
-5.9609616E-01,2.3231506E-03
-5.9608700E-01,2.3460388E-03
-5.9607784E-01,2.3231506E-03
-5.9606868E-01,2.2697449E-03
-5.9605952E-01,2.2697449E-03
-5.9605036E-01,2.2544861E-03
-5.9604120E-01,2.2697449E-03
-5.9603204E-01,2.2544861E-03
-5.9602288E-01,2.2468567E-03
-5.9601372E-01,2.2621155E-03
-5.9600456E-01,2.2697449E-03
-5.9599540E-01,2.2239685E-03
-5.9598624E-01,2.2468567E-03
-5.9597708E-01,2.2544861E-03
-5.9596792E-01,2.2087097E-03
-5.9595876E-01,2.2163391E-03
-5.9594960E-01,2.2087097E-03
-5.9594044E-01,2.2239685E-03
-5.9593128E-01,2.2926331E-03
-5.9592212E-01,2.2468567E-03
-5.9591296E-01,2.2163391E-03
-5.9590380E-01,2.2544861E-03
-5.9589464E-01,2.2621155E-03
-5.9588548E-01,2.2697449E-03
-5.9587632E-01,2.2468567E-03
-5.9586716E-01,2.3231506E-03
-5.9585800E-01,2.2773743E-03
-5.9584884E-01,2.2773743E-03
-5.9583968E-01,2.2773743E-03
-5.9583052E-01,2.3002625E-03
-5.9582136E-01,2.3231506E-03
-5.9581220E-01,2.2926331E-03
-5.9580304E-01,2.2468567E-03
-5.9579388E-01,2.2392273E-03
-5.9578472E-01,2.2239685E-03
-5.9577556E-01,2.2544861E-03
-5.9576640E-01,2.1934509E-03
-5.9575724E-01,2.1934509E-03
-5.9574808E-01,2.1781921E-03
-5.9573892E-01,2.2087097E-03
-5.9572976E-01,2.1934509E-03
-5.9572060E-01,2.1553040E-03
-5.9571144E-01,2.1705627E-03
-5.9570228E-01,2.1858215E-03
-5.9569312E-01,2.1553040E-03
-5.9568396E-01,2.2163391E-03
-5.9567480E-01,2.2163391E-03
-5.9566564E-01,2.2392273E-03
-5.9565648E-01,2.2392273E-03
-5.9564732E-01,2.1934509E-03
-5.9563816E-01,2.1629333E-03
-5.9562900E-01,2.1400452E-03
-5.9561984E-01,2.1705627E-03
-5.9561068E-01,2.1858215E-03
-5.9560152E-01,2.1781921E-03
-5.9559236E-01,2.1934509E-03
-5.9558320E-01,2.1858215E-03
-5.9557404E-01,2.1705627E-03
-5.9556488E-01,2.1400452E-03
-5.9555572E-01,2.1095276E-03
-5.9554656E-01,2.1247864E-03
-5.9553740E-01,2.1476746E-03
-5.9552824E-01,2.1171570E-03
-5.9551908E-01,2.1400452E-03
-5.9550992E-01,2.1095276E-03
-5.9550076E-01,2.1095276E-03
-5.9549160E-01,2.1095276E-03
-5.9548244E-01,2.0942688E-03
-5.9547328E-01,2.0866394E-03
-5.9546412E-01,2.0637512E-03
-5.9545496E-01,2.0713806E-03
-5.9544580E-01,2.0790100E-03
-5.9543664E-01,2.0866394E-03
-5.9542748E-01,2.1095276E-03
-5.9541832E-01,2.0866394E-03
-5.9540916E-01,2.1018982E-03
-5.9540000E-01,2.0408630E-03
-5.9539084E-01,2.0256042E-03
-5.9538168E-01,2.0408630E-03
-5.9537252E-01,2.0790100E-03
-5.9536336E-01,2.0484924E-03
-5.9535420E-01,2.0027161E-03
-5.9534504E-01,2.0332336E-03
-5.9533588E-01,2.0408630E-03
-5.9532672E-01,2.0256042E-03
-5.9531756E-01,2.0561218E-03
-5.9530840E-01,2.0561218E-03
-5.9529924E-01,2.0179749E-03
-5.9529008E-01,2.0027161E-03
-5.9528092E-01,2.0103455E-03
-5.9527176E-01,2.0179749E-03
-5.9526260E-01,2.0256042E-03
-5.9525344E-01,1.9569397E-03
-5.9524428E-01,2.0408630E-03
-5.9523512E-01,2.0942688E-03
-5.9522596E-01,2.0637512E-03
-5.9521680E-01,2.0484924E-03
-5.9520764E-01,1.9645691E-03
-5.9519848E-01,2.0408630E-03
-5.9518932E-01,2.0713806E-03
-5.9518016E-01,2.0332336E-03
-5.9517100E-01,2.0561218E-03
-5.9516184E-01,1.9569397E-03
-5.9515268E-01,1.9721985E-03
-5.9514352E-01,1.9493103E-03
-5.9513436E-01,1.8959045E-03
-5.9512520E-01,1.9187927E-03
-5.9511604E-01,1.9645691E-03
-5.9510688E-01,2.0027161E-03
-5.9509772E-01,1.9187927E-03
-5.9508856E-01,1.8959045E-03
-5.9507940E-01,1.8806458E-03
-5.9507024E-01,1.8882751E-03
-5.9506108E-01,1.8882751E-03
-5.9505192E-01,1.8730164E-03
-5.9504276E-01,1.8577576E-03
-5.9503360E-01,1.8424988E-03
