Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
5.19841533667995e+02,1.25212755127923e+00,-1.32099702694029e+00,-1.21965510405518e+01,6.19712436158224e-01
5.38173705762382e+02,1.25215432574687e+00,-1.41054475939547e+00,-1.21965163253238e+01,5.98604366973277e-01
5.57152360509524e+02,1.25217820567461e+00,-1.50178722783488e+00,-1.21964839346205e+01,5.78215157002388e-01
5.76800296070936e+02,1.25219930577257e+00,-1.59483402733384e+00,-1.21964537128078e+01,5.58520334971804e-01
5.97141114583562e+02,1.25221772739441e+00,-1.68979692317636e+00,-1.21964255146698e+01,5.39496261638169e-01
6.18199250511907e+02,1.25223355902166e+00,-1.78678998620734e+00,-1.21963992047117e+01,5.21120101599627e-01
6.40000000000006e+02,1.25224687668941e+00,-1.88592972863306e+00,-1.21963746565089e+01,5.03369796052026e-01
6.62569551258488e+02,1.25225774434943e+00,-1.98733524494689e+00,-1.21963517521007e+01,4.86224036459522e-01
6.85935016023234e+02,1.25226621417737e+00,-2.09112835442380e+00,-1.21963303814232e+01,4.69662239109796e-01
7.10124462123427e+02,1.25227232682196e+00,-2.19743374749525e+00,-1.21963104417812e+01,4.53664520524933e-01
7.35166947198109e+02,1.25227611159888e+00,-2.30637913632075e+00,-1.21962918373548e+01,4.38211673699935e-01
7.61092553601749e+02,1.25227758663138e+00,-2.41809540741450e+00,-1.21962744787393e+01,4.23285145141645e-01
7.87932424540754e+02,1.25227675893474e+00,-2.53271677962466e+00,-1.21962582825158e+01,4.08867012681706e-01
8.15718801484336e+02,1.25227362444975e+00,-2.65038096559759e+00,-1.21962431708504e+01,3.94939964037992e-01
8.44485062894661e+02,1.25226816802126e+00,-2.77122933707377e+00,-1.21962290711206e+01,3.81487276099734e-01
8.74265764322822e+02,1.25226036332310e+00,-2.89540709521799e+00,-1.21962159155663e+01,3.68492794912338e-01
9.05096679918790e+02,1.25225017273055e+00,-3.02306344545306e+00,-1.21962036409641e+01,3.55940916338644e-01
9.37014845405209e+02,1.25223754713648e+00,-3.15435177710429e+00,-1.21961921883241e+01,3.43816567374124e-01
9.70058602566664e+02,1.25222242571353e+00,-3.28942984782400e+00,-1.21961815026058e+01,3.32105188094197e-01
1.00426764530785e+03,1.25220473561857e+00,-3.42845997400142e+00,-1.21961715324544e+01,3.20792714212580e-01
1.03968306733599e+03,1.25218439163954e+00,-3.57160922602384e+00,-1.21961622299536e+01,3.09865560230234e-01
1.07634741152477e+03,1.25216129578260e+00,-3.71904962987134e+00,-1.21961535503954e+01,2.99310603155143e-01
1.11430472101905e+03,1.25213533679656e+00,-3.87095837419173e+00,-1.21961454520657e+01,2.89115166773780e-01
1.15360059214187e+03,1.25210638963409e+00,-4.02751802417437e+00,-1.21961378960432e+01,2.79267006455778e-01
1.19428222916713e+03,1.25207431484472e+00,-4.18891674180919e+00,-1.21961308460131e+01,2.69754294473868e-01
1.23639850102382e+03,1.25203895789906e+00,-4.35534851278427e+00,-1.21961242680921e+01,2.60565605821781e-01
1.28000000000001e+03,1.25200014843854e+00,-4.52701338067746e+00,-1.21961181306658e+01,2.51689904513358e-01
1.32513910251698e+03,1.25195769944908e+00,-4.70411768862593e+00,-1.21961124042368e+01,2.43116530346646e-01
1.37187003204647e+03,1.25191140635274e+00,-4.88687432858313e+00,-1.21961070612828e+01,2.34835186117338e-01
1.42024892424686e+03,1.25186104601364e+00,-5.07550299843446e+00,-1.21961020761245e+01,2.26835925266368e-01
1.47033389439622e+03,1.25180637565372e+00,-5.27023046789793e+00,-1.21960974248022e+01,2.19109139947043e-01
1.52218510720350e+03,1.25174713167188e+00,-5.47129085281410e+00,-1.21960930849605e+01,2.11645549497515e-01
1.57586484908151e+03,1.25168302836091e+00,-5.67892589835605e+00,-1.21960890357411e+01,2.04436189304917e-01
1.63143760296867e+03,1.25161375651568e+00,-5.89338527201545e+00,-1.21960852576824e+01,1.97472400047911e-01
1.68897012578932e+03,1.25153898192632e+00,-6.11492686610225e+00,-1.21960817326261e+01,1.90745817304852e-01
1.74853152864565e+03,1.25145834374724e+00,-6.34381711039793e+00,-1.21960784436296e+01,1.84248361515195e-01
1.81019335983758e+03,1.25137145273546e+00,-6.58033129563527e+00,-1.21960753748852e+01,1.77972228282181e-01
1.87402969081042e+03,1.25127788934698e+00,-6.82475390767812e+00,-1.21960725116434e+01,1.71909879005250e-01
1.94011720513333e+03,1.25117720168454e+00,-7.07737897341796e+00,-1.21960698401427e+01,1.66054031831007e-01
2.00853529061570e+03,1.25106890328272e+00,-7.33851041823588e+00,-1.21960673475429e+01,1.60397652911934e-01
2.07936613467199e+03,1.25095247072181e+00,-7.60846243628699e+00,-1.21960650218637e+01,1.54933947962430e-01
2.15269482304953e+03,1.25082734105619e+00,-7.88755987333738e+00,-1.21960628519273e+01,1.49656354102080e-01
2.22860944203810e+03,1.25069290904505e+00,-8.17613862300780e+00,-1.21960608273039e+01,1.44558531976417e-01
2.30720118428375e+03,1.25054852416965e+00,-8.47454603720294e+00,-1.21960589382628e+01,1.39634358145755e-01
2.38856445833426e+03,1.25039348742256e+00,-8.78314135071262e+00,-1.21960571757242e+01,1.34877917732994e-01
2.47279700204763e+03,1.25022704785146e+00,-9.10229612130117e+00,-1.21960555312170e+01,1.30283497321610e-01
2.56000000000003e+03,1.25004839883805e+00,-9.43239468500719e+00,-1.21960539968370e+01,1.25845578095324e-01
2.65027820503396e+03,1.24985667409404e+00,-9.77383462834327e+00,-1.21960525652093e+01,1.21558829211250e-01
2.74374006409294e+03,1.24965094335070e+00,-1.01270272771863e+01,-1.21960512294530e+01,1.17418101398580e-01
2.84049784849372e+03,1.24943020771888e+00,-1.04923982035101e+01,-1.21960499831479e+01,1.13418420775159e-01
2.94066778879245e+03,1.24919339469495e+00,-1.08703877506390e+01,-1.21960488203039e+01,1.09554982874520e-01
3.04437021440700e+03,1.24893935278362e+00,-1.12614515777255e+01,-1.21960477353317e+01,1.05823146876252e-01
3.15172969816303e+03,1.24866684570831e+00,-1.16660612244349e+01,-1.21960467230166e+01,1.02218430032770e-01
3.26287520593735e+03,1.24837454617619e+00,-1.20847046964020e+01,-1.21960457784931e+01,9.87365022858132e-02
3.37794025157865e+03,1.24806102916203e+00,-1.25178870727556e+01,-1.21960448972212e+01,9.53731810662311e-02
3.49706305729130e+03,1.24772476467252e+00,-1.29661311363359e+01,-1.21960440749654e+01,9.21244262708047e-02
